long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
53.688046,32.427908,Iran,IR,2011-01-21T00:00:00Z,211,806,95,127
80.771797,7.873054,Sri Lanka,LK,2011-01-21T00:00:00Z,69,565,38,36
43.679291,33.223191,Iraq,IQ,2011-01-21T00:00:00Z,68,425,39,69
113.921327,-0.789275,Indonesia,ID,2011-01-21T00:00:00Z,1,289,,46
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-01-21T00:00:00Z,16,76,,
95.956223,21.913965,Burma,MM,2011-01-21T00:00:00Z,1,82,1,5
69.345116,30.375321,Pakistan,PK,2011-01-21T00:00:00Z,,48,,2
108.277199,14.058324,Vietnam,VN,2011-01-21T00:00:00Z,5,26,2,3
47.481766,29.31166,Kuwait,KW,2011-01-21T00:00:00Z,1,25,,3
,,Other,,2011-01-21T00:00:00Z,176,774,91,122
67.709953,33.93911,Afghanistan,AF,2010-12-17T00:00:00Z,31,1979,18,357
53.688046,32.427908,Iran,IR,2010-12-17T00:00:00Z,177,701,74,121
80.771797,7.873054,Sri Lanka,LK,2010-12-17T00:00:00Z,70,577,38,37
43.679291,33.223191,Iraq,IQ,2010-12-17T00:00:00Z,63,402,29,59
113.921327,-0.789275,Indonesia,ID,2010-12-17T00:00:00Z,2,283,,45
95.956223,21.913965,Burma,MM,2010-12-17T00:00:00Z,1,84,1,6
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-12-17T00:00:00Z,19,63,,
69.345116,30.375321,Pakistan,PK,2010-12-17T00:00:00Z,,35,,1
108.277199,14.058324,Vietnam,VN,2010-12-17T00:00:00Z,4,27,2,3
47.481766,29.31166,Kuwait,KW,2010-12-17T00:00:00Z,1,25,,1
,,Other,,2010-12-17T00:00:00Z,158,749,86,104
67.709953,33.93911,Afghanistan,AF,2010-11-19T00:00:00Z,26,1986,19,342
53.688046,32.427908,Iran,IR,2010-11-19T00:00:00Z,155,598,56,97
80.771797,7.873054,Sri Lanka,LK,2010-11-19T00:00:00Z,70,585,37,37
43.679291,33.223191,Iraq,IQ,2010-11-19T00:00:00Z,54,374,30,55
113.921327,-0.789275,Indonesia,ID,2010-11-19T00:00:00Z,3,249,,34
95.956223,21.913965,Burma,MM,2010-11-19T00:00:00Z,1,86,1,5
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-11-19T00:00:00Z,18,52,,
108.277199,14.058324,Vietnam,VN,2010-11-19T00:00:00Z,6,29,2,3
69.345116,30.375321,Pakistan,PK,2010-11-19T00:00:00Z,,34,,1
47.481766,29.31166,Kuwait,KW,2010-11-19T00:00:00Z,1,28,,2
,,Other,,2010-11-19T00:00:00Z,137,693,83,85
67.709953,33.93911,Afghanistan,AF,2010-10-29T00:00:00Z,24,1968,20,340
53.688046,32.427908,Iran,IR,2010-10-29T00:00:00Z,125,538,55,91
80.771797,7.873054,Sri Lanka,LK,2010-10-29T00:00:00Z,39,515,21,23
43.679291,33.223191,Iraq,IQ,2010-10-29T00:00:00Z,44,315,27,44
113.921327,-0.789275,Indonesia,ID,2010-10-29T00:00:00Z,,232,,34
95.956223,21.913965,Burma,MM,2010-10-29T00:00:00Z,1,87,1,7
