original-location,ourlocation,date,men,women,children
Christmas Island IDC,north west point immigration facility,2011-01-14T00:00:00Z,1985,,
Curtin IDC,Curtin IDC,2011-01-14T00:00:00Z,1144,,
Scherger IDC,Scherger IDC,2011-01-14T00:00:00Z,279,,
Sydney Immigration Residential Housing,Sydney IRH,2011-01-14T00:00:00Z,13,8,13
Perth Immigration Residential Housing,Perth IRH,2011-01-14T00:00:00Z,2,3,7
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-01-14T00:00:00Z,19,14,16
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-01-14T00:00:00Z,18,13,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-01-14T00:00:00Z,1,,129
Community Detention (Mainland),,2011-01-14T00:00:00Z,14,6,25
Community Detention (Christmas Island),,2011-01-14T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-01-14T00:00:00Z,421,323,508
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-01-14T00:00:00Z,329,174,347
Villawood IDC,Villawood IDC,2011-01-21T00:00:00Z,296,21,
Northern IDC (Darwin),Northern IDC,2011-01-21T00:00:00Z,495,,
Maribyrnong IDC,Maribyrnong IDC,2011-01-21T00:00:00Z,74,12,
Perth IDC,Perth IDC,2011-01-21T00:00:00Z,49,1,
Christmas Island IDC,north west point immigration facility,2011-01-21T00:00:00Z,1935,,
Curtin IDC,Curtin IDC,2011-01-21T00:00:00Z,1140,,
Scherger IDC,Scherger IDC,2011-01-21T00:00:00Z,308,,
Sydney Immigration Residential Housing,Sydney IRH,2011-01-21T00:00:00Z,13,8,13
Perth Immigration Residential Housing,Perth IRH,2011-01-21T00:00:00Z,3,3,7
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-01-21T00:00:00Z,19,14,16
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-01-21T00:00:00Z,13,14,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-01-21T00:00:00Z,9,,119
Community Detention (Mainland),,2011-01-21T00:00:00Z,16,8,28
Community Detention (Christmas Island),,2011-01-21T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-01-21T00:00:00Z,455,330,512
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-01-21T00:00:00Z,320,174,330
Villawood IDC,Villawood IDC,2010-12-17T00:00:00Z,300,24,
Northern IDC (Darwin),Northern IDC,2010-12-17T00:00:00Z,446,,
Maribyrnong IDC,Maribyrnong IDC,2010-12-17T00:00:00Z,75,8,
Perth IDC,Perth IDC,2010-12-17T00:00:00Z,44,,
Christmas Island IDC,north west point immigration facility,2010-12-17T00:00:00Z,1976,,
Curtin IDC,Curtin IDC,2010-12-17T00:00:00Z,1014,,
Scherger IDC,Scherger IDC,2010-12-17T00:00:00Z,294,,
Sydney Immigration Residential Housing,Sydney IRH,2010-12-17T00:00:00Z,13,8,15
Perth Immigration Residential Housing,Perth IRH,2010-12-17T00:00:00Z,2,5,10
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-12-17T00:00:00Z,19,19,19
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-12-17T00:00:00Z,18,16,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-12-17T00:00:00Z,1,,141
Community Detention (Mainland),,2010-12-17T00:00:00Z,12,5,14
Community Detention (Christmas Island),,2010-12-17T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-12-17T00:00:00Z,359,246,439
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-12-17T00:00:00Z,349,195,325
Villawood IDC,Villawood IDC,2010-12-03T00:00:00Z,290,18,
Northern IDC (Darwin),Northern IDC,2010-12-03T00:00:00Z,394,,
Maribyrnong IDC,Maribyrnong IDC,2010-12-03T00:00:00Z,84,8,
Perth IDC,Perth IDC,2010-12-03T00:00:00Z,43,,
Christmas Island IDC,north west point immigration facility,2010-12-03T00:00:00Z,2148,,
Curtin IDC,Curtin IDC,2010-12-03T00:00:00Z,883,,
Scherger IDC,Scherger IDC,2010-12-03T00:00:00Z,286,,
Sydney Immigration Residential Housing,Sydney IRH,2010-12-03T00:00:00Z,13,8,13
Perth Immigration Residential Housing,Perth IRH,2010-12-03T00:00:00Z,1,3,7
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-12-03T00:00:00Z,19,17,17
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-12-03T00:00:00Z,11,14,15
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-12-03T00:00:00Z,1,,132
Community Detention (Mainland),,2010-12-03T00:00:00Z,10,2,15
Community Detention (Christmas Island),,2010-12-03T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-12-03T00:00:00Z,357,223,416
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-12-03T00:00:00Z,370,208,303
Villawood IDC,Villawood IDC,2010-11-19T00:00:00Z,286,22,
Northern IDC (Darwin),Northern IDC,2010-11-19T00:00:00Z,475,,
Maribyrnong IDC,Maribyrnong IDC,2010-11-19T00:00:00Z,82,9,
Perth IDC,Perth IDC,2010-11-19T00:00:00Z,47,,
Christmas Island IDC,north west point immigration facility,2010-11-19T00:00:00Z,2109,,
Curtin IDC,Curtin IDC,2010-11-19T00:00:00Z,819,,
Scherger IDC,Scherger IDC,2010-11-19T00:00:00Z,268,,
Sydney Immigration Residential Housing,Sydney IRH,2010-11-19T00:00:00Z,13,8,13
Perth Immigration Residential Housing,Perth IRH,2010-11-19T00:00:00Z,2,4,8
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-11-19T00:00:00Z,19,17,17
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-11-19T00:00:00Z,21,14,15
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-11-19T00:00:00Z,3,,129
Community Detention (Mainland),,2010-11-19T00:00:00Z,8,1,6
Community Detention (Christmas Island),,2010-11-19T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-11-19T00:00:00Z,255,213,395
